"Secteur"	"Quadrat"	"hveg"	"time.period"	"richesse"
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	NA	"fin_90"	NA
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	NA	"fin_90"	NA
"secteur1_vallee_Bazinghen"	"I1Q1"	70	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I1Q2"	40	"debut_10"	23
"secteur1_vallee_Bazinghen"	"I2Q1"	90	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I2Q3"	100	"debut_10"	10
"secteur1_vallee_Bazinghen"	"I3Q2"	50	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I3Q3"	80	"debut_10"	13
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	80	"debut_10"	14
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	60	"debut_10"	18
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	NA	"debut_10"	NA
"secteur3_aval_vallee_Slack"	"I5Q2"	60	"debut_10"	15
"secteur3_aval_vallee_Slack"	"I7Q1"	50	"debut_10"	15
"secteur3_aval_vallee_Slack"	"I7Q3"	50	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I8Q1"	25	"debut_10"	12
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	40	"debut_10"	8
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	40	"debut_10"	20
"secteur1_vallee_Bazinghen"	"I1Q1"	70	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I1Q2"	50	"debut_10"	21
"secteur1_vallee_Bazinghen"	"I2Q1"	80	"debut_10"	16
"secteur1_vallee_Bazinghen"	"I2Q3"	85	"debut_10"	9
"secteur1_vallee_Bazinghen"	"I3Q2"	50	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I3Q3"	65	"debut_10"	13
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	NA	"debut_10"	NA
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	35	"debut_10"	15
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	35	"debut_10"	17
"secteur3_aval_vallee_Slack"	"I5Q2"	50	"debut_10"	19
"secteur3_aval_vallee_Slack"	"I7Q1"	30	"debut_10"	12
"secteur3_aval_vallee_Slack"	"I7Q3"	40	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I8Q1"	35	"debut_10"	14
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	25	"debut_10"	9
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	35	"debut_10"	19
"secteur1_vallee_Bazinghen"	"I1Q1"	70	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I1Q2"	60	"debut_10"	16
"secteur1_vallee_Bazinghen"	"I2Q1"	90	"debut_10"	12
"secteur1_vallee_Bazinghen"	"I2Q3"	90	"debut_10"	11
"secteur1_vallee_Bazinghen"	"I3Q2"	60	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I3Q3"	70	"debut_10"	12
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	90	"debut_10"	14
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	55	"debut_10"	16
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	45	"debut_10"	15
"secteur3_aval_vallee_Slack"	"I5Q2"	50	"debut_10"	21
"secteur3_aval_vallee_Slack"	"I7Q1"	30	"debut_10"	14
"secteur3_aval_vallee_Slack"	"I7Q3"	40	"debut_10"	15
"secteur1_vallee_Bazinghen"	"I8Q1"	40	"debut_10"	17
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	30	"debut_10"	10
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	40	"debut_10"	21
"secteur1_vallee_Bazinghen"	"I1Q1"	60	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I1Q2"	25	"debut_10"	17
"secteur1_vallee_Bazinghen"	"I2Q1"	50	"debut_10"	19
"secteur1_vallee_Bazinghen"	"I2Q3"	75	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I3Q2"	60	"debut_10"	13
"secteur1_vallee_Bazinghen"	"I3Q3"	45	"debut_10"	16
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	25	"debut_10"	11
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	40	"debut_10"	15
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	30	"debut_10"	17
"secteur3_aval_vallee_Slack"	"I5Q2"	15	"debut_10"	18
"secteur3_aval_vallee_Slack"	"I7Q1"	15	"debut_10"	13
"secteur3_aval_vallee_Slack"	"I7Q3"	20	"debut_10"	17
"secteur1_vallee_Bazinghen"	"I8Q1"	30	"debut_10"	15
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	20	"debut_10"	8
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	25	"debut_10"	17
"secteur1_vallee_Bazinghen"	"I1Q1"	60	"debut_10"	11
"secteur1_vallee_Bazinghen"	"I1Q2"	45	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I2Q1"	70	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I2Q3"	60	"debut_10"	9
"secteur1_vallee_Bazinghen"	"I3Q2"	75	"debut_10"	14
"secteur1_vallee_Bazinghen"	"I3Q3"	60	"debut_10"	15
"secteur2_confluence_Slack_Bazinghen"	"I4Q1"	70	"debut_10"	13
"secteur2_confluence_Slack_Bazinghen"	"I4Q2"	55	"debut_10"	19
"secteur2_confluence_Slack_Bazinghen"	"I4Q3"	50	"debut_10"	14
"secteur3_aval_vallee_Slack"	"I5Q2"	50	"debut_10"	20
"secteur3_aval_vallee_Slack"	"I7Q1"	35	"debut_10"	14
"secteur3_aval_vallee_Slack"	"I7Q3"	40	"debut_10"	17
"secteur1_vallee_Bazinghen"	"I8Q1"	30	"debut_10"	16
"secteur2_confluence_Slack_Bazinghen"	"I9Q1"	30	"debut_10"	9
"secteur2_confluence_Slack_Bazinghen"	"I9Q2"	45	"debut_10"	20
